"NYC_extract.DBA";"NYC_extract.TripAdvisor.URL";"NYC_extract.INSPECTION.DATE";"NYC_extract.VIOLATION.DESCRIPTION";"NYC_extract.SCORE";"NYC_extract.GRADE"
"61013";"99 CENTS PIZZA & FRIES";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1450822-Reviews-Keste_Pizza_Vino-New_York_City_New_York.html";"01/08/2018";"Accurate thermometer not provided in refrigerated or hot holding equipment.";2;""
"61523";"BARILLA RESTAURANTS";"https://www.tripadvisor.com/Restaurant_Review-g60763-d5617483-Reviews-Casa_Barilla-New_York_City_New_York.html";"08/03/2018";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";13;"A"
"95401";"LUCY LOVES MANERO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d18954197-Reviews-Manero_s_Pizza-New_York_City_New_York.html";"12/04/2019";"Evidence of rats or live rats present in facility's food and/or non-food areas.";39;"C"
"99375";"RIBALTA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3158813-Reviews-Ribalta_Pizza-New_York_City_New_York.html";"02/01/2017";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";12;"A"
"141488";"RUBIROSA PIZZA & RISTORANTE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d2009679-Reviews-Rubirosa-New_York_City_New_York.html";"02/06/2020";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";13;"A"
"144897";"K RICO";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7617787-Reviews-K_Rico_Steakhouse-New_York_City_New_York.html";"04/25/2018";"Evidence of mice or live mice present in facility's food and/or non-food areas.";20;""
"146818";"ROYAL 35 STEAK HOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12015308-Reviews-Royal_35_Steakhouse-New_York_City_New_York.html";"01/07/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";9;"A"
"149216";"BRAVO PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d779894-Reviews-Bravo_Pizza-New_York_City_New_York.html";"01/13/2020";"Hot food item not held at or above 140Âº F.";12;"A"
"152931";"LUCY LOVES MANERO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d18954197-Reviews-Manero_s_Pizza-New_York_City_New_York.html";"01/16/2020";"Evidence of mice or live mice present in facility's food and/or non-food areas.";16;""
"158375";"KEENS STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425330-Reviews-Keens_Steakhouse-New_York_City_New_York.html";"01/21/2020";"Food contact surface not properly maintained.";13;"A"
"178199";"GALLAGHER'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d478965-Reviews-Gallagher_s_Steak_House-New_York_City_New_York.html";"04/30/2018";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";13;"A"
"182840";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"02/20/2019";"Food Protection Certificate not held by supervisor of food operations.";26;""
"182912";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"02/20/2019";"Wiping cloths soiled or not stored in sanitizing solution.";26;""
"182976";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"02/20/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";26;""
"182982";"BENJAMIN STEAK HOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d655719-Reviews-Benjamin_Steakhouse-New_York_City_New_York.html";"02/20/2019";"\\Wash handsâ€ sign not posted at hand wash facility.";26;""
"183123";"BENJAMIN STEAK HOUSE";"https://www.tripadvisor.com/Search?q=BENJAMIN%20STEAK%20HOUSE&searchSessionId=A575848B6A85896119E17A9AA93D400A1614554640813ssid&searchNearby=false&geo=60763&sid=53BC2B5D109F420EADD7BFB76507E6711614554661646&blockRedirect=true";"02/20/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";26;""
"183128";"A SLICE OF NEW YORK";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1459433-Reviews-A_Slice_of_New_York-New_York_City_New_York.html";"02/20/2019";"Accurate thermometer not provided in refrigerated or hot holding equipment.";26;""
"183242";"ABITINO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19335210-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html";"02/20/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";36;""
"183257";"ABITINO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19335210-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html";"02/20/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";36;""
"183295";"ABITINO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19335210-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html";"02/20/2019";"Food Protection Certificate not held by supervisor of food operations.";36;""
"183304";"ABITINO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19335210-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html";"02/20/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";36;""
"183329";"BENJAMIN STEAK HOUSE";"https://www.tripadvisor.com/Search?q=BENJAMIN%20STEAK%20HOUSE&searchSessionId=A575848B6A85896119E17A9AA93D400A1614554640813ssid&searchNearby=false&geo=60763&sid=53BC2B5D109F420EADD7BFB76507E6711614554661646&blockRedirect=true";"02/20/2019";"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.";26;""
"183400";"CAFE VIVA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d967818-Reviews-Cafe_Viva_Gourmet_Pizza-New_York_City_New_York.html";"02/20/2020";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";27;""
"183451";"PAPA JOHN'S PIZZA SW HARLEM";"https://www.tripadvisor.com/Restaurant_Review-g60763-d14029780-Reviews-Papa_John_s_Pizza-New_York_City_New_York.html";"02/20/2020";"Food contact surface not properly maintained.";12;"A"
"183720";"CASA PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6652779-Reviews-Casa_Pizza_Restaurant-New_York_City_New_York.html";"02/20/2020";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";18;""
"183769";"SAN MATTEO PIZZA ESPRESSO BAR";"https://www.tripadvisor.com/Search?q=SAN%20MATTEO%20PIZZA%20ESPRESSO%20BAR&searchSessionId=EF0149E607766AEEEF608CB3680384631614555528422ssid&searchNearby=false&geo=60763&sid=53BC2B5D109F420EADD7BFB76507E6711614555545213&blockRedirect=true";"02/20/2020";"Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.";12;""
"183799";"CAFE VIVA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d967818-Reviews-Cafe_Viva_Gourmet_Pizza-New_York_City_New_York.html";"02/20/2020";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";27;""
"183813";"PAPA JOHN'S PIZZA SW HARLEM";"https://www.tripadvisor.com/Restaurant_Review-g60763-d14029780-Reviews-Papa_John_s_Pizza-New_York_City_New_York.html";"02/20/2020";"Food Protection Certificate not held by supervisor of food operations.";12;"A"
"184013";"CAFE VIVA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d967818-Reviews-Cafe_Viva_Gourmet_Pizza-New_York_City_New_York.html";"02/20/2020";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";27;""
"184059";"SAN MATTEO PIZZA ESPRESSO BAR";"https://www.tripadvisor.com/Search?q=SAN%20MATTEO%20PIZZA%20ESPRESSO%20BAR&searchSessionId=EF0149E607766AEEEF608CB3680384631614555528422ssid&searchNearby=false&geo=60763&sid=53BC2B5D109F420EADD7BFB76507E6711614555545213&blockRedirect=true";"02/20/2020";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";12;""
"184082";"CAFE VIVA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d967818-Reviews-Cafe_Viva_Gourmet_Pizza-New_York_City_New_York.html";"02/20/2020";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";27;""
"184323";"CAFE VIVA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d967818-Reviews-Cafe_Viva_Gourmet_Pizza-New_York_City_New_York.html";"02/20/2020";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";27;""
"184343";"CASA PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d6652779-Reviews-Casa_Pizza_Restaurant-New_York_City_New_York.html";"02/20/2020";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";18;""
"184507";"CAFE VIVA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d967818-Reviews-Cafe_Viva_Gourmet_Pizza-New_York_City_New_York.html";"02/20/2020";"Food contact surface not properly maintained.";27;""
"184514";"BOBBY VAN'S GRILL";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15183718-Reviews-Bobby_Vans_Steakhouse-New_York_City_New_York.html";"02/20/2020";"Accurate thermometer not provided in refrigerated or hot holding equipment.";2;"A"
"184570";"ABITINO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19335210-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html";"02/21/2017";"Hot food item not held at or above 140Âº F.";11;"A"
"184726";"ABITINO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19335210-Reviews-Abitino_s_Pizzeria-New_York_City_New_York.html";"02/21/2017";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";11;"A"
"184739";"SAL AND CARMINE PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457147-Reviews-Sal_and_Carmine_Pizza-New_York_City_New_York.html";"02/21/2018";"Hot food item not held at or above 140Âº F.";12;"A"
"184783";"RUTH'S CHRIS STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d477513-Reviews-Ruth_s_Chris_Steak_House-New_York_City_New_York.html";"02/21/2018";"Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.";7;"A"
"184809";"SAL AND CARMINE PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d457147-Reviews-Sal_and_Carmine_Pizza-New_York_City_New_York.html";"02/21/2018";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";12;"A"
"184954";"WHOLESOME GARDEN PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12236950-Reviews-Wholesome_Garden_Pizza-New_York_City_New_York.html";"02/21/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";12;"A"
"184974";"BODEGA PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d17990667-Reviews-Bodega_Pizza-New_York_City_New_York.html";"02/21/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";13;""
"184975";"BARDOLINO PIZZA II";"https://www.tripadvisor.com/Restaurant_Review-g60763-d19273824-Reviews-Bardolino_Pizza_2-New_York_City_New_York.html";"02/21/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";3;"P"
"185015";"WHOLESOME GARDEN PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12236950-Reviews-Wholesome_Garden_Pizza-New_York_City_New_York.html";"02/21/2019";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";12;"A"
"185107";"ROCKY'S PIZZA 14TH STREET CORP";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3722392-Reviews-Rocky_s_Pizza_14th_St-New_York_City_New_York.html";"02/21/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";13;""
"185117";"WHOLESOME GARDEN PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d12236950-Reviews-Wholesome_Garden_Pizza-New_York_City_New_York.html";"02/21/2019";"Single service item reused, improperly stored, dispensed; not used when required.";12;"A"
"185139";"BODEGA PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d17990667-Reviews-Bodega_Pizza-New_York_City_New_York.html";"02/21/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";13;""
"185174";"PAPA JOHN'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15651043-Reviews-Papa_John_s_Pizza-New_York_City_New_York.html";"02/21/2019";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";14;""
"185175";"BODEGA PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d17990667-Reviews-Bodega_Pizza-New_York_City_New_York.html";"02/21/2019";"Evidence of rats or live rats present in facility's food and/or non-food areas.";13;""
"185231";"PAPA JOHN'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15651043-Reviews-Papa_John_s_Pizza-New_York_City_New_York.html";"02/21/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";14;""
"185235";"ROCKY'S PIZZA 14TH STREET CORP";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3722392-Reviews-Rocky_s_Pizza_14th_St-New_York_City_New_York.html";"02/21/2019";"Hot food item not held at or above 140Âº F.";13;""
"185274";"PAPA JOHN'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15651043-Reviews-Papa_John_s_Pizza-New_York_City_New_York.html";"02/21/2019";"Evidence of rats or live rats present in facility's food and/or non-food areas.";14;""
"185319";"BOBBY VAN'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15183718-Reviews-Bobby_Vans_Steakhouse-New_York_City_New_York.html";"02/21/2020";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";12;"A"
"185479";"PIZZA PLUS";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10430437-Reviews-Pizza_Plus-New_York_City_New_York.html";"02/21/2020";"Food contact surface not properly maintained.";12;"A"
"185489";"PIZZA PLUS";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10430437-Reviews-Pizza_Plus-New_York_City_New_York.html";"02/21/2020";"Wiping cloths soiled or not stored in sanitizing solution.";12;"A"
"185757";"GINA LA FORNARINA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7216435-Reviews-Gina_la_Fornarina-New_York_City_New_York.html";"02/21/2020";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";13;"A"
"185761";"GINA LA FORNARINA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7216435-Reviews-Gina_la_Fornarina-New_York_City_New_York.html";"02/21/2020";"Proper sanitization not provided for utensil ware washing operation.";13;"A"
"185791";"BOBBY VAN'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15183718-Reviews-Bobby_Vans_Steakhouse-New_York_City_New_York.html";"02/21/2020";"Proper sanitization not provided for utensil ware washing operation.";12;"A"
"185919";"PIZZA PLUS";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10430437-Reviews-Pizza_Plus-New_York_City_New_York.html";"02/21/2020";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";12;"A"
"185926";"GINA LA FORNARINA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d7216435-Reviews-Gina_la_Fornarina-New_York_City_New_York.html";"02/21/2020";"Hot food item not held at or above 140Âº F.";13;"A"
"185945";"BOBBY VAN'S STEAKHOUSE";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15183718-Reviews-Bobby_Vans_Steakhouse-New_York_City_New_York.html";"02/21/2020";"Evidence of mice or live mice present in facility's food and/or non-food areas.";12;"A"
"186187";"GINO'S PIZZERIA RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4039253-Reviews-Gino_s_Pizzeria_Restaurant-New_York_City_New_York.html";"02/22/2017";"Food contact surface not properly maintained.";2;"A"
"186221";"LITTLE ITALY PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3792166-Reviews-Dough_Boys_Pizza-New_York_City_New_York.html";"02/22/2017";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";16;""
"186274";"CAFE AMORE'S RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459679-Reviews-Cafe_Amore_Pizzeria_Ristorante-New_York_City_New_York.html";"02/22/2017";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";7;"A"
"186306";"LITTLE ITALY PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3792166-Reviews-Dough_Boys_Pizza-New_York_City_New_York.html";"02/22/2017";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";16;""
"186394";"CAFE AMORE'S RESTAURANT";"https://www.tripadvisor.com/Restaurant_Review-g60763-d459679-Reviews-Cafe_Amore_Pizzeria_Ristorante-New_York_City_New_York.html";"02/22/2017";"Wiping cloths soiled or not stored in sanitizing solution.";7;"A"
"186406";"LITTLE ITALY PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d3792166-Reviews-Dough_Boys_Pizza-New_York_City_New_York.html";"02/22/2017";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";16;""
"186475";"ROSARIO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425788-Reviews-Rosario_s_Pizzeria-New_York_City_New_York.html";"02/22/2017";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";7;"A"
"186509";"ROSARIO'S PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d425788-Reviews-Rosario_s_Pizzeria-New_York_City_New_York.html";"02/22/2017";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";7;"A"
"186533";"PN WOOD FIRED PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10299551-Reviews-PN_Wood_Fired_Pizza-New_York_City_New_York.html";"02/22/2018";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";5;"A"
"186905";"SOFIA WINE BAR";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1419008-Reviews-Sofia_Wine_Bar_and_Cafe-New_York_City_New_York.html";"02/22/2018";"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.";4;"A"
"186944";"SOFIA WINE BAR";"https://www.tripadvisor.com/Restaurant_Review-g60763-d1419008-Reviews-Sofia_Wine_Bar_and_Cafe-New_York_City_New_York.html";"02/22/2018";"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";4;"A"
"187239";"PN WOOD FIRED PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d10299551-Reviews-PN_Wood_Fired_Pizza-New_York_City_New_York.html";"02/22/2018";"Canned food product observed dented and not segregated from other consumable food items.";5;"A"
"187509";"EMMY SQUARED";"https://www.tripadvisor.com/Restaurant_Review-g60763-d14785146-Reviews-Emmy_Squared_East_Village-New_York_City_New_York.html";"02/22/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";23;""
"187571";"SLICED BY HARLEM PIZZA CO.";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15173020-Reviews-Sliced_by_Harlem_Pizza_Co-New_York_City_New_York.html";"02/22/2019";"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.";17;"B"
"187623";"SLICED BY HARLEM PIZZA CO.";"https://www.tripadvisor.com/Restaurant_Review-g60763-d15173020-Reviews-Sliced_by_Harlem_Pizza_Co-New_York_City_New_York.html";"02/22/2019";"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilityâ€™s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.";17;"B"
"187699";"PAPA JOHNS PIZZA";"https://www.tripadvisor.com/Restaurant_Review-g60763-d4730529-Reviews-Papa_John_s_Pizza-New_York_City_New_York.html";"02/22/2019";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";12;"A"
"187700";"PAPA JOHN'S";"https://www.tripadvisor.com/Restaurant_Review-g60763-d14060754-Reviews-Papa_John_s_Pizza-New_York_City_New_York.html";"02/22/2019";"Evidence of mice or live mice present in facility's food and/or non-food areas.";9;"A"
"187881";"BENJAMIN STEAKHOUSE PRIME";"https://www.tripadvisor.com/Restaurant_Review-g60763-d11798975-Reviews-Benjamin_Steakhouse_Prime-New_York_City_New_York.html";"02/22/2019";"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.";12;"A"
"187911";"EMMY SQUARED";"https://www.tripadvisor.com/Restaurant_Review-g60763-d14785146-Reviews-Emmy_Squared_East_Village-New_York_City_New_York.html";"02/22/2019";"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.";23;""
